animal	dpi	weight
CA1	49	25.7
CA3	49	29.5
CA5	49	24.9
CB1	49	29.6
CB2	49	32.5
CC1	49	22.2
CC2	49	25.2
CD1	55	26.2
CE2	55	22.8
CE3	55	23.4
CG1	66	29.8
CG2	66	29.7
CG3	66	28.3
CH1	66	24.1
CH2	66	19.3
CH3	66	23
CI4	66	18.9
CI5	66	23.6
CJ1	66	22.8
CK2	66	25.7
CL2	66	22.3
CM2	66	26.8
CN1	66	29.4
CO1	66	30.3
CO2	66	27
CO3	66	29.8
CP1	66	21.5
CQ3	66	33.2
CQ4	66	29.9
CQ5	66	31.4
CA1	92	28
CA3	92	33
CA5	92	25.9
CB1	92	30.6
CB2	92	34.9
CC1	92	23.9
CC2	92	28.6
CD1	92	27.8
CE2	92	24.6
CE3	92	24.2
CG1	92	30.1
CG2	92	29.8
CG3	92	28.2
CH1	92	24.9
CH2	92	20.8
CH3	92	23.5
CI4	92	20.6
CI5	92	23.5
CJ1	92	23.2
CK2	92	26.4
CL2	92	21.9
CM2	92	27.2
CN1	92	32.2
CO1	92	30.8
CO2	92	28.2
CO3	92	31
CP1	92	21.6
CQ3	92	34.1
CQ4	92	31.4
CQ5	92	31.1
CA1	99	27.3
CA3	99	33.6
CA5	99	27.1
CB1	99	31.5
CB2	99	36.7
CC1	99	23.6
CC2	99	29.5
CD1	99	27.8
CE2	99	23.7
CE3	99	23.5
CG1	99	30.2
CG2	99	29.8
CG3	99	28.6
CH1	99	24.7
CH2	99	20.6
CH3	99	23.5
CI4	99	12.9
CI5	99	15.4
CJ1	99	22.6
CK2	99	26.4
CL2	99	21.7
CM2	99	27.4
CN1	99	32.2
CO1	99	31.5
CO2	99	27.8
CO3	99	30.3
CP1	99	21.5
CQ3	99	35.1
CQ4	99	31.7
CQ5	99	31.3
CA1	106	27.1
CA3	106	34.4
CA5	106	27.1
CB1	106	30.8
CB2	106	35.3
CC1	106	24
CC2	106	29.3
CD1	106	27.5
CE2	106	23.6
CE3	106	24.1
CG1	106	31.2
CG2	106	30.1
CG3	106	29.5
CH1	106	24.5
CH2	106	21
CH3	106	22.9
CI4	106	20.5
CI5	106	22.7
CJ1	106	22.9
CK2	106	27.4
CL2	106	22.3
CM2	106	28.2
CN1	106	32.3
CO1	106	30.3
CO2	106	27.6
CO3	106	29.8
CP1	106	21.4
CQ3	106	35.5
CQ4	106	32.1
CQ5	106	32
CA1	113	26.8
CA3	113	33.6
CA5	113	26.5
CB1	113	31
CB2	113	36
CC1	113	24.2
CC2	113	31.3
CD1	113	28.1
CE2	113	23.9
CE3	113	25.3
CG1	113	31.1
CG2	113	30.5
CG3	113	28.6
CH1	113	24.5
CH2	113	20.6
CH3	113	23
CI4	113	20
CI5	113	23.8
CJ1	113	24.2
CK2	113	27.3
CL2	113	22.4
CM2	113	28.3
CN1	113	33.8
CO1	113	31.2
CO2	113	28
CO3	113	30.4
CP1	113	22.4
CQ3	113	36.4
CQ4	113	31.8
CQ5	113	32.2
CA1	120	27.8
CA3	120	33.8
CA5	120	27.1
CB1	120	30.9
CB2	120	35.1
CC1	120	24
CC2	120	32
CD1	120	28.3
CE2	120	23.8
CE3	120	24.8
CG1	120	32.2
CG2	120	30.6
CG3	120	29.7
CH1	120	24.8
CH2	120	20.7
CH3	120	22.9
CI4	120	20.6
CI5	120	23
CJ1	120	23.4
CK2	120	27.4
CL2	120	22.6
CM2	120	28.8
CN1	120	33.3
CO1	120	32.1
CO2	120	28
CO3	120	31.6
CP1	120	22.1
CQ3	120	35.2
CQ4	120	31.9
CQ5	120	32.1
CA1	127	28
CA3	127	33.9
CA5	127	27.3
CB1	127	31.4
CB2	127	36.6
CC1	127	25.4
CC2	127	32.1
CD1	127	28.3
CE2	127	24.3
CE3	127	25.4
CG1	127	31.2
CG2	127	30.4
CG3	127	29.3
CH1	127	24.6
CH2	127	21.5
CH3	127	23
CI4	127	20
CI5	127	24.1
CJ1	127	24.1
CK2	127	27.4
CL2	127	22.6
CM2	127	28.6
CN1	127	32.5
CO1	127	31.9
CO2	127	28
CO3	127	32.3
CP1	127	22.5
CQ3	127	36.8
CQ4	127	32.1
CQ5	127	33.2
CA1	134	28.6
CA3	134	35.1
CA5	134	27.9
CB1	134	31.6
CB2	134	37
CC1	134	25.6
CC2	134	32.5
CD1	134	28
CE2	134	24.3
CE3	134	25.7
CG1	134	30.7
CG2	134	30.8
CG3	134	30.1
CH1	134	25.7
CH2	134	20.9
CH3	134	22.9
CI4	134	20.7
CI5	134	23.9
CJ1	134	23.4
CK2	134	27.7
CL2	134	22.5
CM2	134	29.4
CN1	134	33.7
CO1	134	32.1
CO2	134	29.4
CO3	134	32.8
CP1	134	23.2
CQ3	134	36.8
CQ4	134	32.4
CQ5	134	33.1
CA1	141	27.9
CA3	141	34.5
CA5	141	27.4
CB1	141	32.1
CB2	141	37.9
CC1	141	25.5
CC2	141	33.9
CD1	141	27.8
CE2	141	24
CE3	141	25.6
CG1	141	31.5
CG2	141	31.2
CG3	141	30.5
CH1	141	25.8
CH2	141	20.6
CH3	141	23.3
CI4	141	20.8
CI5	141	24.2
CJ1	141	23.2
CK2	141	27.2
CL2	141	22.5
CM2	141	28.6
CN1	141	33.5
CO1	141	32.8
CO2	141	28.6
CO3	141	31.3
CP1	141	23
CQ3	141	36.9
CQ4	141	32
CQ5	141	33.1
CA1	148	28.9
CA3	148	34.9
CA5	148	27.9
CB1	148	31.6
CB2	148	36.8
CC1	148	26.1
CC2	148	34.6
CD1	148	28.6
CE2	148	25.5
CE3	148	26.5
CG1	148	31.6
CG2	148	31.8
CG3	148	30.7
CH1	148	25.6
CH2	148	20.6
CH3	148	23.3
CI4	148	21.2
CI5	148	22.9
CJ1	148	24.1
CK2	148	28.3
CL2	148	23.7
CM2	148	29
CN1	148	34
CO1	148	32.5
CO2	148	28.5
