sample	treatment
BE39max_100dpi_117426_id1_S7	BE39max
BE39max_100dpi_117426_id2_S8	BE39max
BE39max_100dpi_117902_id1_S9	BE39max
BE39max_100dpi_117902_id3_S10	BE39max
BE39max_100dpi_117910_id1_S11	BE39max
BE39max_100dpi_117910_id2_S12	BE39max
NT_100dpi_117907_id1_S1	untreated
NT_100dpi_117907_id2_S2	untreated
NT_100dpi_117907_id3_S3	untreated
NT_100dpi_117908_id1_S4	untreated
NT_100dpi_117908_id2_S5	untreated
NT_100dpi_117909_id4_S6	untreated
TadCBEd_100dpi_117900_id1_S13	TadCBEd
TadCBEd_100dpi_117901_id1_S14	TadCBEd
TadCBEd_100dpi_117901_id2_S15	TadCBEd
TadCBEd_100dpi_117901_id3_S16	TadCBEd
TadCBEd_100dpi_117904_id1_S17	TadCBEd
TadCBEd_100dpi_117904_id3_S18	TadCBEd
