consequence	impact	count	sample
3_prime_UTR_variant	MODIFIER	7	mouse
5_prime_UTR_variant	MODIFIER	39	mouse
downstream_gene_variant	MODIFIER	83	mouse
intergenic_variant	MODIFIER	293	mouse
intron_variant	MODIFIER	630	mouse
missense_variant	MODERATE	50	mouse
non_coding_transcript_exon_variant	MODIFIER	4	mouse
regulatory_region_variant	MODIFIER	10	mouse
splice_acceptor_variant	HIGH	1	mouse
splice_donor_region_variant	LOW	3	mouse
splice_donor_variant	HIGH	1	mouse
splice_polypyrimidine_tract_variant	LOW	2	mouse
splice_region_variant	LOW	4	mouse
start_lost	HIGH	1	mouse
stop_gained	HIGH	7	mouse
synonymous_variant	LOW	28	mouse
upstream_gene_variant	MODIFIER	96	mouse
