amplicon	strand	treatment	sample	numerator	denominator	edited
chr10_132887513-132887740	+	unsorted BE3.9max-treated	BE39max-US-R1_S1	25	3654	0.006841817186644773
chr10_132887513-132887740	+	unsorted BE3.9max-treated	BE39max-US-R2_S3	13	3382	0.00384387936132466
chr10_132887513-132887740	+	unsorted BE3.9max-treated	BE39max-US-R3_S5	61	13751	0.004436041015198895
chr10_132887513-132887740	+	untreated	NT-R1_S7	25	3792	0.0065928270042194094
chr10_132887513-132887740	+	untreated	NT-R2_S8	23	4089	0.005624847150892639
chr10_132887513-132887740	+	untreated	NT-R3_S9	11	2360	0.004661016949152543
chr11_15710664-15710823	-	unsorted BE3.9max-treated	BE39max-US-R1_S1	52	11147	0.004664932268771867
chr11_15710664-15710823	-	unsorted BE3.9max-treated	BE39max-US-R2_S3	24	7328	0.0032751091703056767
chr11_15710664-15710823	-	unsorted BE3.9max-treated	BE39max-US-R3_S5	140	29482	0.004748660199443728
chr11_15710664-15710823	-	untreated	NT-R1_S7	37	7875	0.004698412698412698
chr11_15710664-15710823	-	untreated	NT-R2_S8	37	10941	0.003381774974865186
chr11_15710664-15710823	-	untreated	NT-R3_S9	14	4829	0.002899150962932284
chr11_3938398-3938568	-	unsorted BE3.9max-treated	BE39max-US-R1_S1	124	35194	0.0035233278399727226
chr11_3938398-3938568	-	unsorted BE3.9max-treated	BE39max-US-R2_S3	110	19871	0.005535705299179709
chr11_3938398-3938568	-	unsorted BE3.9max-treated	BE39max-US-R3_S5	158	33754	0.004680926704983113
chr11_3938398-3938568	-	untreated	NT-R1_S7	88	23050	0.0038177874186550976
chr11_3938398-3938568	-	untreated	NT-R2_S8	177	34430	0.005140865524252106
chr11_3938398-3938568	-	untreated	NT-R3_S9	59	16111	0.0036620942213394575
chr11_60615875-60616034	-	unsorted BE3.9max-treated	BE39max-US-R1_S1	105	19309	0.005437878709410119
chr11_60615875-60616034	-	unsorted BE3.9max-treated	BE39max-US-R2_S3	56	13450	0.004163568773234201
chr11_60615875-60616034	-	unsorted BE3.9max-treated	BE39max-US-R3_S5	340	68130	0.004990459415822692
chr11_60615875-60616034	-	untreated	NT-R1_S7	77	15763	0.004884856943475227
chr11_60615875-60616034	-	untreated	NT-R2_S8	88	21074	0.004175761601973997
chr11_60615875-60616034	-	untreated	NT-R3_S9	55	10703	0.0051387461459403904
chr12_117452896-117453078	+	unsorted BE3.9max-treated	BE39max-US-R1_S1	15	5614	0.0026718916993231207
chr12_117452896-117453078	+	unsorted BE3.9max-treated	BE39max-US-R2_S3	10	4065	0.0024600246002460025
chr12_117452896-117453078	+	unsorted BE3.9max-treated	BE39max-US-R3_S5	65	14440	0.004501385041551247
chr12_117452896-117453078	+	untreated	NT-R1_S7	17	4176	0.0040708812260536395
chr12_117452896-117453078	+	untreated	NT-R2_S8	37	5352	0.006913303437967115
chr12_117452896-117453078	+	untreated	NT-R3_S9	11	2794	0.003937007874015748
chr12_122502982-122503164	-	unsorted BE3.9max-treated	BE39max-US-R1_S1	140	15584	0.008983572895277207
chr12_122502982-122503164	-	unsorted BE3.9max-treated	BE39max-US-R2_S3	92	10127	0.009084625259208058
chr12_122502982-122503164	-	unsorted BE3.9max-treated	BE39max-US-R3_S5	255	31570	0.008077288565093443
chr12_122502982-122503164	-	untreated	NT-R1_S7	53	11823	0.004482787786517804
chr12_122502982-122503164	-	untreated	NT-R2_S8	92	16476	0.005583879582422918
chr12_122502982-122503164	-	untreated	NT-R3_S9	66	8894	0.007420733078479874
chr12_133199694-133199883	-	unsorted BE3.9max-treated	BE39max-US-R1_S1	82	15423	0.005316734746806717
chr12_133199694-133199883	-	unsorted BE3.9max-treated	BE39max-US-R2_S3	52	11050	0.004705882352941176
chr12_133199694-133199883	-	unsorted BE3.9max-treated	BE39max-US-R3_S5	256	46801	0.005469968590414735
chr12_133199694-133199883	-	untreated	NT-R1_S7	92	14198	0.006479785885335963
