amplicon	strand	p_value	editing_TadCBEd	editing_untreated	difference
chr10_13306458-13306639	+	0.1665316476942914	0.006010996323016042	0.005592984507445815	4.1801181557022705e-4
chr10_43494250-43494415	+	0.041330688418597016	0.005346591185622067	0.004297663384099148	0.001048927801522919
chr10_50895127-50895356	+	0.19208958186433167	0.0048809583097362734	0.004628745192051573	2.522131176847008e-4
chr10_6119668-6119902	-	0.6001403571663618	0.15644821923086671	0.15683760546811504	-3.8938623724832366e-4
chr10_78069841-78070066	+	0.34865656653274113	0.004998773198911923	0.004777634595646545	2.2113860326537782e-4
chr10_79720035-79720254	+	0.07588129484745558	0.0035496856303002824	0.0030557249021887847	4.939607281114976e-4
chr11_103829451-103829633	+	0.24323719018761153	0.004359963952308057	0.004201754032294128	1.5820992001392906e-4
chr11_113573551-113573732	+	0.004919249190876968	0.009924670796847676	0.007360872823456847	0.0025637979733908293
chr11_30184706-30184927	+	0.14933187442899282	0.004691652052393519	0.004386514019508332	3.0513803288518757e-4
chr11_52420389-52420626	-	0.721942751285354	0.02566058625194154	0.026081548769061217	-4.2096251711967736e-4
chr11_5261227-5261385	+	0.9938545919748103	0.0035858004001079868	0.005205094977177527	-0.00161929457706954
chr11_53055472-53055684	+	0.3339076660296402	0.006066084072697991	0.005843504268178437	2.2257980451955393e-4
chr11_71871185-71871353	+	0.38556412473496804	0.0067240042472858546	0.006601351840671116	1.226524066147384e-4
chr12_100442589-100442788	-	0.014297766337272347	0.013367141339700848	0.011927098179785175	0.001440043159915673
chr12_111466032-111466188	+	0.7148602044575291	0.0036125533048833526	0.003858640780254339	-2.4608747537098637e-4
chr13_101231637-101231880	+	0.829262751056506	0.005051081226885517	0.005450101771279202	-3.990205443936846e-4
chr13_114845677-114845838	-	0.29313102961014437	0.004791554446592447	0.004567776540106803	2.2377790648564402e-4
chr13_19925284-19925460	-	0.12341669280339114	0.005448171313987241	0.00482277469358711	6.253966204001309e-4
chr13_49075601-49075797	-	0.6275077101397621	0.004291930783199942	0.004396494062333528	-1.0456327913358626e-4
chr13_57485880-57486118	-	0.3382982236716242	0.010903713054961198	0.010690625711688124	2.1308734327307385e-4
chr14_121266229-121266428	+	0.6930706040790284	0.004696185155741671	0.004891446631332344	-1.9526147559067314e-4
chr14_30163835-30164015	+	8.582049915066318e-4	0.0809023814891558	0.005691896191906603	0.07521048529724919
chr14_66727709-66727933	-	0.21637722448002672	0.010482101573932392	0.010052984406601505	4.291171673308867e-4
chr15_102144498-102144674	-	0.3299138570242086	0.008009463953817382	0.007249334787445555	7.601291663718278e-4
chr15_12232312-12232478	+	0.3254588254884241	0.004339448373490696	0.004204541557046832	1.3490681644386365e-4
chr15_18445087-18445268	+	0.9254576323816454	0.019964408993707074	0.02666462552433834	-0.0067002165306312665
chr15_31592214-31592380	+	0.5936221033259576	0.005060307187178702	0.005176335388511522	-1.1602820133282e-4
chr15_96911609-96911784	+	0.7221402323098983	0.007141055393298718	0.007115403640209896	2.5651753088822005e-5
chr16_10865109-10865273	-	0.5516890260202304	0.005792971265349502	0.005929837975554687	-1.3686671020518484e-4
chr16_38605005-38605248	-	0.3199382934816995	0.010356856846074921	0.010169514181441557	1.8734266463336403e-4
chr16_94493928-94494090	-	0.48713489721736636	0.0048555515079724	0.00483775426892914	1.7797239043259964e-5
chr17_22031830-22032058	-	0.8660550625819003	0.08147807051353015	0.09194747272114406	-0.010469402207613915
chr17_26188237-26188450	+	0.5808026017689185	0.004724762167019475	0.00483012572952366	-1.0536356250418454e-4
chr17_83028137-83028343	+	0.19926380586893233	0.0036195985144248746	0.003302764841421974	3.168336730029007e-4
chr17_9514356-9514526	+	0.7802504774254044	0.0041231071371368305	0.004380651384432667	-2.5754424729583676e-4
chr18_25527919-25528162	+	4.3342315513233444e-4	0.13605837717530822	0.009874253645544093	0.12618412352976413
chr18_29058614-29058859	-	0.5660451548163796	0.006706769565676653	0.006781062281558138	-7.429271588148528e-5
chr18_4708989-4709206	+	0.42809537518251584	0.0051176952357513345	0.005049200864349966	6.849437140136853e-5
chr18_75680478-75680698	+	0.8601768306970237	0.0030255661791516305	0.0032522052045363095	-2.26639025384679e-4
chr1_126739568-126739734	+	0.1296102540578771	0.004443969515730861	0.0041214404782598975	3.225290374709632e-4
chr1_188866703-188866860	+	0.39304611017653357	0.0050208279509784855	0.004938790630136788	8.203732084169704e-5
chr1_71610094-71610322	-	0.5089510909149398	0.008368865200512955	0.008379387794286257	-1.0522593773302016e-5
chr1_74587666-74587826	+	0.82236602737156	0.0043605023019638025	0.0047507440579692166	-3.90241756005414e-4
chr1_87930560-87930770	-	0.6516336081682417	0.006789596118595341	0.006921127312186016	-1.3153119359067458e-4
chr2_102213624-102213815	+	0.2950361804305397	0.004369712204167489	0.004179095364116983	1.9061684005050594e-4
chr2_116601032-116601271	-	0.4996452724058015	0.012247168322798851	0.012246794320253005	3.7400254584638026e-7
chr2_124605016-124605260	+	0.21280372773248893	0.004766072525584766	0.00460575205416959	1.6032047141517625e-4
chr2_153968156-153968323	-	0.48136704586792434	0.005520241048968915	0.00551035847879008	9.882570178834822e-6
chr2_32372437-32372644	+	0.8537225394214332	0.004019193798531898	0.004336191348726557	-3.169975501946592e-4
chr3_130617464-130617687	+	0.8247489451148862	0.006073704266138032	0.00636422319459734	-2.905189284593086e-4
chr3_144419940-144420160	+	0.04817077550349519	0.006176968235348136	0.005830856795915966	3.4611143943217e-4
chr3_66197543-66197786	+	0.43308669998470284	0.007375287192436989	0.007270072209847815	1.0521498258917426e-4
chr3_99181763-99181992	-	0.2187278314095678	0.014240692512499072	0.013755356596660013	4.8533591583905904e-4
chr4_114264418-114264587	+	0.8556746379917732	0.010842005513360604	0.012496800273870488	-0.0016547947605098836
chr4_129686058-129686303	-	0.6862707063693134	0.0068104974291727	0.007007625851906154	-1.9712842273345368e-4
chr4_132720742-132720915	+	0.6236708597357146	0.005754427401416284	0.005940981606206118	-1.8655420478983376e-4
chr4_138605179-138605335	+	0.8668660329143097	0.004198139266286302	0.004622612645311451	-4.244733790251488e-4
chr4_152306772-152307012	-	0.851756784890471	0.010208073042021242	0.010711392298139815	-5.033192561185729e-4
chr4_53567961-53568166	-	0.10752547947068357	0.007369436980434855	0.006963780108275131	4.056568721597237e-4
chr4_85947221-85947405	+	0.05421359676208493	0.005923533176233422	0.005309798426975913	6.137347492575088e-4
chr5_105817455-105817620	-	0.1930906466386913	0.003991616665755397	0.0035115485550096985	4.8006811074569836e-4
chr5_119220086-119220275	-	0.8380766449756255	0.003271224005116944	0.0035632784380475657	-2.9205443293062183e-4
chr5_123457646-123457835	+	0.3205178404131479	0.0023498152392228437	0.002258833923799407	9.09813154234369e-5
chr5_136040022-136040183	-	0.5016085604944116	0.0049624634465379085	0.0049649163208278085	-2.4528742899000353e-6
chr5_27480436-27480617	-	0.04469511736926016	0.004961730415980315	0.004348285053260868	6.134453627194471e-4
chr5_28083542-28083704	+	0.10560838046748408	0.005421211077109354	0.004749700702391561	6.715103747177934e-4
chr5_67214627-67214846	+	0.6573215359835273	0.004398415926029784	0.004539495142259554	-1.4107921622976988e-4
chr5_92349481-92349710	+	0.04146171423712178	0.004589614329914655	0.003832764180258214	7.568501496564412e-4
chr6_127307909-127308102	-	0.696374061244393	0.003542297740268222	0.0037141471518828384	-1.7184941161461648e-4
chr6_133859819-133860012	+	0.227487663880087	0.0036130172201714592	0.0033308343570438203	2.82182863127639e-4
chr6_136264046-136264277	-	0.5526070446636429	0.11235176027977972	0.11253915821788767	-1.8739793810794436e-4
chr6_29199260-29199502	+	0.5455886116349163	0.0049367358975565	0.004990345022320229	-5.360912476372933e-5
chr7_111704209-111704381	-	0.25991875662042874	0.004520798856570394	0.004294355537227994	2.2644331934239953e-4
chr7_133222940-133223156	+	0.16445698111664267	0.004065272522130452	0.0038079378218754383	2.573347002550134e-4
chr7_143405677-143405856	+	0.48993274132438036	0.0069047009338168595	0.00688869162978899	1.600930402786971e-5
chr7_47704271-47704434	-	0.029066679092412256	0.0041890299096515905	0.0030643171106650227	0.0011247127989865678
chr8_103143317-103143556	-	0.2870043712036771	0.011422885963005697	0.01118313201166138	2.3975395134431636e-4
chr8_103485362-103485601	+	0.25755311356042565	0.00573924968076732	0.005407480539547593	3.3176914121972687e-4
chr8_119830749-119830913	+	0.28390460932371786	0.006175463530335316	0.005943194182404037	2.322693479312795e-4
chr8_123949261-123949433	+	0.4782557422123851	0.006111046007842279	0.006055926630776266	5.5119377066013137e-5
chr8_126188646-126188887	+	0.5065636711269006	0.027942387761216922	0.027954318874632737	-1.1931113415814681e-5
chr8_41583648-41583813	-	0.5324508993314097	0.005320332735990797	0.00535301411574888	-3.268137975808317e-5
chr8_88987876-88988052	+	0.02766212843564227	0.004149214266181995	0.003623702397852444	5.255118683295508e-4
chr8_94889916-94890149	+	0.3011496229726534	0.006255428385322979	0.006042679171222937	2.1274921410004144e-4
chr9_102992936-102993147	-	0.9901812600703513	0.0038774564268892983	0.004313683875597125	-4.362274487078265e-4
chr9_118758414-118758609	+	0.24332361468220687	0.007330177999963141	0.006934640630295155	3.9553736966798595e-4
chr9_18834538-18834779	-	0.8779894066434949	0.014076226085493752	0.014697859341125767	-6.216332556320155e-4
chr9_36581513-36581754	+	0.5964050222519796	0.006858484573813503	0.006962564331959287	-1.0407975814578398e-4
chr9_46466622-46466793	+	0.2071883114596223	0.004457513148228795	0.004131198908724799	3.263142395039959e-4
chr9_58436125-58436357	-	6.47349577918953e-4	0.18750695944313026	0.03748150743994222	0.15002545200318804
chr9_78028346-78028570	+	0.5704495255257779	0.00487362332734452	0.004950320543121995	-7.669721577747458e-5
chrX_13448114-13448287	+	0.5332889669481795	0.003936500891974344	0.003975075262360875	-3.8574370386530894e-5
chrX_99470598-99470773	-	0.5277994829279781	0.006268249565468889	0.006352136280643703	-8.388671517481436e-5
