amplicon	strand	treatment	sample	numerator	denominator	edited
chr10_13306458-13306639	+	BE39max	BE39max_100dpi_117426_id1_S7	169	32793	0.005153538865001677
chr10_13306458-13306639	+	BE39max	BE39max_100dpi_117426_id2_S8	205	35503	0.005774159930146748
chr10_13306458-13306639	+	BE39max	BE39max_100dpi_117902_id1_S9	171	31711	0.005392450569203115
chr10_13306458-13306639	+	BE39max	BE39max_100dpi_117902_id3_S10	437	67303	0.0064930240851076475
chr10_13306458-13306639	+	BE39max	BE39max_100dpi_117910_id1_S11	196	37120	0.005280172413793104
chr10_13306458-13306639	+	BE39max	BE39max_100dpi_117910_id2_S12	181	35963	0.005032950532491727
chr10_13306458-13306639	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	123	18831	0.006531782698741437
chr10_13306458-13306639	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	111	18797	0.005905197637920944
chr10_13306458-13306639	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	110	17563	0.006263166884928543
chr10_13306458-13306639	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	90	16975	0.005301914580265096
chr10_13306458-13306639	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	105	17347	0.006052919813224189
chr10_13306458-13306639	+	untreated	NT_100dpi_117907_id1_S1	116	28878	0.004016898677193711
chr10_13306458-13306639	+	untreated	NT_100dpi_117907_id2_S2	213	34324	0.006205570446334926
chr10_13306458-13306639	+	untreated	NT_100dpi_117907_id3_S3	197	34395	0.005727576682657363
chr10_13306458-13306639	+	untreated	NT_100dpi_117908_id1_S4	203	37495	0.005414055207360982
chr10_13306458-13306639	+	untreated	NT_100dpi_117908_id2_S5	179	31120	0.005751928020565553
chr10_13306458-13306639	+	untreated	NT_100dpi_117909_id4_S6	222	34462	0.006441878010562358
chr10_43494250-43494415	+	BE39max	BE39max_100dpi_117426_id1_S7	93	16685	0.005573868744381181
chr10_43494250-43494415	+	BE39max	BE39max_100dpi_117426_id2_S8	55	14516	0.003788922568200606
chr10_43494250-43494415	+	BE39max	BE39max_100dpi_117902_id1_S9	62	12045	0.00514736405147364
chr10_43494250-43494415	+	BE39max	BE39max_100dpi_117902_id3_S10	104	26768	0.0038852361028093247
chr10_43494250-43494415	+	BE39max	BE39max_100dpi_117910_id1_S11	57	13940	0.004088952654232425
chr10_43494250-43494415	+	BE39max	BE39max_100dpi_117910_id2_S12	65	10601	0.006131497028582209
chr10_43494250-43494415	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	46	9230	0.004983748645720477
chr10_43494250-43494415	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	44	7004	0.006282124500285551
chr10_43494250-43494415	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	26	5139	0.005059350068106636
chr10_43494250-43494415	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	36	6135	0.0058679706601467
chr10_43494250-43494415	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	29	6388	0.004539762053850971
chr10_43494250-43494415	+	untreated	NT_100dpi_117907_id1_S1	64	18774	0.003408969851922872
chr10_43494250-43494415	+	untreated	NT_100dpi_117907_id2_S2	44	13717	0.0032076984763432237
chr10_43494250-43494415	+	untreated	NT_100dpi_117907_id3_S3	77	13688	0.005625365283459965
chr10_43494250-43494415	+	untreated	NT_100dpi_117908_id1_S4	55	14911	0.00368855207564885
chr10_43494250-43494415	+	untreated	NT_100dpi_117908_id2_S5	55	12636	0.00435264324153213
chr10_43494250-43494415	+	untreated	NT_100dpi_117909_id4_S6	66	11994	0.005502751375687844
chr10_50895127-50895356	+	BE39max	BE39max_100dpi_117426_id1_S7	334	81754	0.004085427012745554
chr10_50895127-50895356	+	BE39max	BE39max_100dpi_117426_id2_S8	501	95679	0.005236258740162418
chr10_50895127-50895356	+	BE39max	BE39max_100dpi_117902_id1_S9	422	99057	0.004260173435496734
chr10_50895127-50895356	+	BE39max	BE39max_100dpi_117902_id3_S10	792	164029	0.004828414487682056
chr10_50895127-50895356	+	BE39max	BE39max_100dpi_117910_id1_S11	675	103802	0.006502764879289417
chr10_50895127-50895356	+	BE39max	BE39max_100dpi_117910_id2_S12	378	91713	0.004121553105884662
chr10_50895127-50895356	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	238	56235	0.004232239708366676
