amplicon	strand	p_value	editing_BE39max	editing_untreated	difference
chr10_13306458-13306639	+	0.4624023361673133	0.005785695653144805	0.005767761601196892	1.7934051947912817e-5
chr10_43494250-43494415	+	0.8913353706526831	0.004209616297214926	0.004514690241414988	-3.050739442000622e-4
chr10_50895127-50895356	+	0.07181641046942963	0.004800301461472919	0.004595646177907349	2.046552835655701e-4
chr10_6119668-6119902	-	0.18702094182963688	0.1258753893451015	0.12439740785467539	0.0014779814904261196
chr10_6119668-6119902	gRNA NotFound	0.18702094182963688	0.12686599649682334	0.12574044157242864	0.0011255549243947005
chr10_78069841-78070066	+	0.17308478382597656	0.005257033854392668	0.004924419914354392	3.326139400382762e-4
chr10_79720035-79720254	+	0.0866495949565276	0.0034677842728470572	0.0032575763052972457	2.1020796754981155e-4
chr11_103829451-103829633	+	0.5417578732739415	0.004722154609612532	0.004736216815779551	-1.406220616701967e-5
chr11_113573551-113573732	+	0.702379366812194	0.007484656325254928	0.007674456720627314	-1.8980039537238626e-4
chr11_30184706-30184927	+	0.2733420237835041	0.004931129395237912	0.004845513575910218	8.561581932769406e-5
chr11_52420389-52420626	-	0.19912718723505723	0.020601707580607934	0.020316220929405337	2.854866512025968e-4
chr11_5261227-5261385	+	0.04056573919918497	0.006938942462885509	0.005024353419095577	0.0019145890437899313
chr11_53055472-53055684	+	0.3574427326794177	0.006063968031622527	0.005991842297801163	7.212573382136406e-5
chr11_71871185-71871353	+	0.8781979365320787	0.0069568405208152075	0.007376535541271299	-4.196950204560911e-4
chr12_100442589-100442788	-	0.46438815458913907	0.009717781246787413	0.009689220685303796	2.8560561483616936e-5
chr12_111466032-111466188	+	0.08160131638774253	0.004228328758342587	0.003937343743114637	2.9098501522794966e-4
chr13_101231637-101231880	+	0.982546223958201	0.004910551965560086	0.005208983976130529	-2.9843201057044334e-4
chr13_114845677-114845838	-	0.11885096990371813	0.0047457081775841205	0.004563026701747654	1.8268147583646623e-4
chr13_19925284-19925460	-	0.5340346985850907	0.004699203423497151	0.004723597304424111	-2.439388092696001e-5
chr13_49075601-49075797	-	0.7753355547756817	0.0044395483357395306	0.004573926034730527	-1.343776989909968e-4
chr13_57485880-57486118	-	0.05400282060068703	0.009510310482457865	0.009200712427187403	3.095980552704613e-4
chr14_121266229-121266428	+	0.8245940911994307	0.004617580428291513	0.004805751091357041	-1.8817066306552836e-4
chr14_30163835-30164015	+	0.03512481437380269	0.005572466294230731	0.004839619329939281	7.328469642914502e-4
chr14_66727709-66727933	-	0.44704041775099196	0.009361977418703218	0.009335880211120208	2.6097207583010776e-5
chr15_102144498-102144674	-	0.6808783954947347	0.006183492222118151	0.006710830288148034	-5.273380660298834e-4
chr15_12232312-12232478	+	0.1454008444700049	0.004620933523096831	0.0043052682721663365	3.1566525093049483e-4
chr15_18445087-18445268	+	0.9936278393774012	0.020236873138094143	0.025406923790624966	-0.0051700506525308235
chr15_31592214-31592380	+	0.9679812597332493	0.005063185448825746	0.005434702636832829	-3.71517188007083e-4
chr15_96911609-96911784	+	0.8409429797860675	0.005132505251978314	0.006479344033811061	-0.0013468387818327474
chr16_10865109-10865273	-	0.7997001327599554	0.0052874330749842205	0.005937893757189687	-6.504606822054669e-4
chr16_38605005-38605248	-	0.5640439454756814	0.009269813233957907	0.00930861070722496	-3.879747326705242e-5
chr16_94493928-94494090	-	0.4342928674817427	0.005045922673192844	0.0049852869893452206	6.063568384762335e-5
chr17_22031830-22032058	-	0.9489425536271564	0.0940211096294603	0.10649592524098825	-0.012474815611527953
chr17_26188237-26188450	+	0.872018968313365	0.005017125137783382	0.0051806128898732135	-1.6348775208983174e-4
chr17_83028137-83028343	+	0.41638771276536796	0.003494740108315313	0.003472381984423353	2.235812389196016e-5
chr17_9514356-9514526	+	0.21281067737402498	0.004457687480315734	0.0042788558212007236	1.788316591150108e-4
chr18_25527919-25528162	+	0.001390582779660528	0.00973959996289589	0.00578220032339801	0.0039573996394978795
chr18_29058614-29058859	-	0.0835321479955018	0.005765517308643116	0.005600089273012497	1.654280356306187e-4
chr18_4708989-4709206	+	0.47670342526229714	0.0048509220269562624	0.00484157679994921	9.345227007052058e-6
chr18_75680478-75680698	+	0.8212771502244931	0.0032876399799431325	0.0034303457182365193	-1.4270573829338684e-4
chr1_126739568-126739734	+	0.7133781343305119	0.004160065358244625	0.004208109736635544	-4.8044378390918983e-05
chr1_188866703-188866860	+	0.827286362911413	0.00499673900646579	0.005252388406605747	-2.556494001399569e-4
chr1_71610094-71610322	-	0.31267680110886403	0.007285719638854379	0.007161689512170041	1.240301266843373e-4
chr1_74587666-74587826	+	0.5981400869006748	0.004772037890681429	0.004813798451431847	-4.176056075041838e-5
chr1_87930560-87930770	-	0.46706858783579563	0.006050423426080134	0.006029897749799107	2.0525676281027243e-5
chr2_102213624-102213815	+	0.5380936026246833	0.004512854998851447	0.004524608513239338	-1.1753514387890553e-5
chr2_116601032-116601271	-	0.7540692854352722	0.01074057393003433	0.010937142551957279	-1.965686219229483e-4
chr2_124605016-124605260	+	0.6570771454515312	0.004650879763675656	0.004729825687741917	-7.894592406626141e-5
chr2_153968156-153968323	-	0.9187406797996804	0.0054849852208939285	0.005805489566659642	-3.2050434576571304e-4
chr2_32372437-32372644	+	0.7087691201663788	0.0044205795491065285	0.004488795846981492	-6.82162978749637e-5
chr3_130617464-130617687	+	0.6223949217933964	0.006527314012873666	0.006586668729191325	-5.935471631765901e-5
chr3_144419940-144420160	+	0.13393032078309103	0.005412463997080198	0.0051888147926111225	2.236492044690756e-4
chr3_66197543-66197786	+	0.9873943677270322	0.006732347186352746	0.007016074424476198	-2.837272381234516e-4
chr3_99181763-99181992	-	0.5284460538818205	0.01241767146553313	0.012449706224082977	-3.2034758549848164e-5
chr4_114264418-114264587	+	0.98982220434136	0.012143239353028922	0.016845629503677587	-0.004702390150648664
chr4_129686058-129686303	-	0.543740040857273	0.00676231738849436	0.006779395151562069	-1.7077763067708737e-5
chr4_132720742-132720915	+	0.30078916521443555	0.005927920504513618	0.005758969980639751	1.689505238738672e-4
chr4_138605179-138605335	+	0.13168945091974654	0.004760484187144058	0.004535812941352388	2.2467124579167008e-4
chr4_152306772-152307012	-	0.8677500927691194	0.009711754621566688	0.010056396581145606	-3.4464195957891776e-4
chr4_53567961-53568166	-	0.14118073421921346	0.0066165600642490805	0.006329777997075589	2.867820671734918e-4
chr4_85947221-85947405	+	0.6696532854210128	0.005730386644135171	0.0058053528297158	-7.496618558062908e-5
chr5_105817455-105817620	-	0.8061598685108027	0.003543225558640098	0.003678129006113671	-1.3490344747357297e-4
chr5_119220086-119220275	-	0.2325797086816654	0.0037611227206810816	0.0036051196228745466	1.5600309780653505e-4
